date,from ,from_title,invoice no,qty,units,description,currency,price,total,source,consumer_title,consumer,,,,
2/17/2003,baltic textiles trading ltd,baltic textiles trading ltd,P051472365F,1,piece,clothing,kshs,800,800,p.muraya,mutall,mutall_investment_company,,,,
2/24/2023,chickjoint,chickjoint bar and grill,2422023,1,plate,clithing,kshs,100,100,p.muraya,mutall,mutall_investment_company,,,,
1/4/2023,chickjoint,chickjoint bar and grill,412923,1,plate,matumbo,kshs,100,100,p.muraya,mutall,mutall_investment_company,,,,
1/5/2023,chickjoint,chickjoint bar and grill,512023,2,plate,matumbo,kshs,100,200,p.muraya,mutall,mutall_investment_company,,,,
1/3/2023,viewjoint chomaplace,chickjoint bar and grill,312023,2,pcs,samosa,kshs,50,100,p.muraya,mutall,mutall_investment_company,,,,
1/26/2023,chickjoint,chickjoint bar and grill,2612023,2,pcs,samosa,kshs,50,100,p.muraya,mutall,mutall_investment_company,,,,
1/31/2023,chickjoint,chickjoint bar and grill,3112023,1,plate,matumbo,kshs,100,100,p.muraya,mutall,mutall_investment_company,,,,
1/19/2023,chickjoint,chickjoint bar and grill,1192023,4,plate,matumbo,kshs,100,400,p.muraya,mutall,mutall_investment_company,,,,
2/9/2023,chickjoint,chickjoint bar and grill,922023,1,plate,matumbo,kshs,100,100,p.muraya,mutall,mutall_investment_company,,,,
9/19/2023,j.r vision hardware,j.r vision hardware,1465,4,3inches,water pipes,kshs,800,3200,mama_muraya,mutall,mutall_investment_company,,,,
9/19/2023,j.r vision hardware,j.r vision hardware,1465,8,3inches,water bends,kshs,150,1200,mama_muraya,mutall,mutall_investment_company,,,,
9/19/2023,j.r vision hardware,j.r vision hardware,1465,1,2inches,steel nails,kshs,250,250,mama_muraya,mutall,mutall_investment_company,,,,
9/19/2023,j.r vision hardware,j.r vision hardware,1465,1,250mm,tangit,kshs,250,250,mama_muraya,mutall,mutall_investment_company,,,,
9/19/2023,j.r vision hardware,j.r vision hardware,1465,8,3inches,clip,kshs,10,80,mama_muraya,mutall,mutall_investment_company,,,,
11/1/2023,j.r vision hardware,j.r vision hardware,1183,1,pcs,flushing handle,kshs,300,300,mama_muraya,mutall,mutall_investment_company,,,,
11/2/2023,johali limited,johali limited,2112023,3,units,water,kshs,600,600,mama_muraya,mutall,mutall_investment_company,,,,
11/7/2023,j.r vision hardware,j.r vision hardware,1340,1,50000l,refill tank,kshs,28000,28000,mama_muraya,mutall,mutall_investment_company,,,,
11/8/2023,j.r vision hardware,j.r vision hardware,1376,1,pcs,flushing handle,kshs,300,300,mama_muraya,mutall,mutall_investment_company,,,,
11/9/2023,j.r vision hardware,j.r vision hardware,1396,1,pcs,gatevalve,kshs,800,800,mama_muraya,mutall,mutall_investment_company,,,,
11/9/2023,j.r vision hardware,j.r vision hardware,1396,1,pcs,longpipe,kshs,60,60,mama_muraya,mutall,mutall_investment_company,,,,
11/9/2023,j.r vision hardware,j.r vision hardware,1396,2,pcs,backnut,kshs,40,80,mama_muraya,mutall,mutall_investment_company,,,,
11/9/2023,j.r vision hardware,j.r vision hardware,1396,1,32*1,m.s,kshs,50,50,mama_muraya,mutall,mutall_investment_company,,,,
11/9/2023,j.r vision hardware,j.r vision hardware,1396,3,3/4,ppr pipe,kshs,270,810,mama_muraya,mutall,mutall_investment_company,,,,
11/9/2023,j.r vision hardware,j.r vision hardware,1396,2,3/4,ppr tee,kshs,20,40,mama_muraya,mutall,mutall_investment_company,,,,
11/9/2023,j.r vision hardware,j.r vision hardware,1397,4,25,ppr elbow,kshs,20,80,mama_muraya,mutall,mutall_investment_company,,,,
11/9/2023,j.r vision hardware,j.r vision hardware,1397,4,25*3/4,ppr ms,kshs,30,120,mama_muraya,mutall,mutall_investment_company,,,,
11/9/2023,j.r vision hardware,j.r vision hardware,1397,2,3/4,gatevalve,kshs,600,1200,mama_muraya,mutall,mutall_investment_company,,,,
11/9/2023,j.r vision hardware,j.r vision hardware,1397,1,32,ppr pipe,kshs,370,370,mama_muraya,mutall,mutall_investment_company,,,,
